"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"

5370070.00,0070.00,10.20,13.40,16.70,10.50,6.00,10.10,135.00,100.00,35.00,460.00,315.00,145.00,600.00,2230.00,1910.00,315.00,130.00,80.00,30.00,55.00,25.00,15.00,45.00
5370071.00,0071.00,29.00,46.20,51.00,25.60,14.10,10.50,650.00,535.00,115.00,1075.00,810.00,270.00,1730.00,6515.00,5080.00,1395.00,365.00,170.00,185.00,470.00,205.00,155.00,315.00
5370072.01,0072.01,,,,,,0.00,5.00,0.00,0.00,35.00,30.00,5.00,35.00,85.00,55.00,35.00,20.00,10.00,0.00,10.00,0.00,0.00,0.00
5370072.02,0072.02,21.00,34.60,37.70,17.20,19.10,10.30,285.00,235.00,50.00,775.00,660.00,115.00,1065.00,3970.00,2325.00,1605.00,675.00,190.00,385.00,235.00,125.00,75.00,160.00
5370072.03,0072.03,25.40,34.70,38.80,24.80,15.30,10.30,480.00,385.00,95.00,1320.00,1075.00,245.00,1800.00,6545.00,3350.00,3030.00,435.00,345.00,680.00,695.00,875.00,295.00,405.00
5370072.04,0072.04,8.60,14.00,16.70,8.30,4.40,8.70,205.00,165.00,40.00,800.00,700.00,105.00,1010.00,3445.00,2180.00,1240.00,555.00,180.00,220.00,150.00,130.00,60.00,90.00
5370073.00,0073.00,11.30,13.80,8.30,12.70,5.70,4.00,70.00,55.00,15.00,275.00,190.00,85.00,345.00,1195.00,1045.00,150.00,110.00,20.00,10.00,20.00,0.00,0.00,15.00
5370080.01,0080.01,3.40,3.70,0.00,3.60,2.40,4.50,80.00,50.00,25.00,580.00,520.00,55.00,655.00,2260.00,1735.00,520.00,370.00,75.00,40.00,35.00,0.00,20.00,15.00
5370080.03,0080.03,9.40,15.20,15.60,7.80,5.90,9.10,310.00,265.00,45.00,1580.00,1375.00,205.00,1890.00,6215.00,4385.00,1785.00,440.00,185.00,335.00,665.00,155.00,460.00,210.00
5370080.05,0080.05,7.00,11.20,12.40,5.80,3.50,4.80,320.00,270.00,50.00,1650.00,1490.00,155.00,1970.00,6990.00,5170.00,1790.00,505.00,305.00,545.00,340.00,95.00,175.00,165.00
5370080.06,0080.06,3.90,6.00,5.80,3.70,1.90,3.60,225.00,180.00,45.00,1275.00,1165.00,110.00,1495.00,4970.00,4080.00,885.00,320.00,180.00,170.00,175.00,45.00,40.00,135.00
5370080.07,0080.07,5.90,8.60,7.80,5.20,3.70,5.20,135.00,110.00,30.00,770.00,695.00,75.00,910.00,3095.00,2275.00,790.00,225.00,160.00,160.00,210.00,35.00,105.00,105.00
5370081.00,0081.00,8.80,6.90,9.10,8.80,9.80,6.30,115.00,95.00,25.00,555.00,470.00,85.00,675.00,2315.00,1765.00,530.00,275.00,30.00,125.00,60.00,40.00,35.00,25.00
5370082.00,0082.00,14.20,27.00,36.10,14.80,6.30,8.30,220.00,185.00,35.00,770.00,640.00,125.00,995.00,3460.00,2575.00,880.00,425.00,80.00,140.00,145.00,85.00,95.00,45.00
5370083.00,0083.00,15.60,19.70,26.90,16.60,10.10,7.60,155.00,125.00,35.00,520.00,420.00,100.00,675.00,2295.00,1690.00,555.00,200.00,50.00,160.00,85.00,65.00,50.00,35.00
5370084.01,0084.01,5.90,7.50,3.70,6.60,3.60,7.90,150.00,100.00,50.00,670.00,570.00,95.00,820.00,2635.00,1680.00,925.00,520.00,90.00,145.00,115.00,50.00,70.00,40.00
5370084.02,0084.02,7.50,6.70,9.40,7.00,8.90,7.60,175.00,130.00,40.00,750.00,640.00,110.00,925.00,2990.00,2065.00,885.00,500.00,85.00,160.00,120.00,20.00,60.00,60.00
5370084.03,0084.03,4.70,9.10,10.50,4.90,2.60,6.30,90.00,70.00,20.00,555.00,510.00,50.00,650.00,2115.00,1405.00,710.00,435.00,65.00,135.00,75.00,0.00,35.00,35.00
5370084.04,0084.04,6.10,9.30,0.00,7.20,2.70,5.30,90.00,70.00,10.00,485.00,410.00,70.00,570.00,1830.00,1465.00,365.00,210.00,30.00,85.00,25.00,10.00,25.00,10.00
5370084.05,0084.05,3.70,5.10,3.30,4.20,1.40,4.10,105.00,75.00,25.00,775.00,715.00,65.00,885.00,2870.00,1760.00,1105.00,660.00,85.00,190.00,140.00,25.00,90.00,55.00
5370085.01,0085.01,3.90,6.60,5.30,4.10,1.20,4.80,145.00,110.00,30.00,1135.00,1075.00,60.00,1275.00,4225.00,2795.00,1430.00,910.00,160.00,255.00,75.00,35.00,40.00,40.00
5370085.02,0085.02,5.40,7.30,6.40,5.40,2.70,6.20,295.00,230.00,60.00,1645.00,1510.00,130.00,1940.00,6530.00,4370.00,2130.00,880.00,295.00,535.00,345.00,75.00,220.00,130.00
5370085.03,0085.03,8.20,10.30,9.60,8.70,3.70,6.80,140.00,95.00,45.00,1120.00,950.00,170.00,1260.00,3920.00,2835.00,1040.00,375.00,165.00,190.00,250.00,55.00,135.00,115.00
